SGG_NM,BJDONG_NM,HOUSE_TYPE,PRICE_PER,CENTER_LONG,CENTER_LATI
강남구,개포동,아파트,9558.822917471116,127.06259188505676,37.48027638208536
강남구,논현동,아파트,5708.987742881495,127.031712478427,37.51367912993379
강남구,대치동,아파트,8877.302210895024,127.06334667950938,37.49918983082211
강남구,도곡동,아파트,7882.736652807535,127.04527689043202,37.48859587613891
강남구,삼성동,아파트,8110.900223188483,127.0561216060426,37.5139689371812
강남구,세곡동,아파트,5284.3334571749,127.10459678585212,37.46436944623918
강남구,수서동,아파트,7640.676657142721,127.09671869070247,37.48587602939197
강남구,신사동,아파트,5159.992362650195,127.0265021417178,37.52380657423338
강남구,압구정동,아파트,11739.873227077607,127.02847878449757,37.530736240237125
강남구,역삼동,아파트,7452.905653109463,127.0385490769512,37.50007839967135
강남구,율현동,아파트,6434.68072690897,127.11207067721938,37.47081185783545
강남구,일원동,아파트,7826.862033649939,127.08286049104916,37.488008106820445
강남구,자곡동,아파트,5991.01290871191,127.10035102126302,37.476268479930354
강남구,청담동,아파트,7753.85917366653,127.0504717775772,37.52439589934928
강동구,강일동,아파트,3681.437910247772,127.17338353679996,37.568915836694416
강동구,고덕동,아파트,5823.835069533971,127.15823011188463,37.56382203459346
강동구,길동,아파트,3131.830235568659,127.14592904185352,37.53961619000997
강동구,둔촌동,아파트,3722.9435681820814,127.14472693241336,37.5282635714739
강동구,명일동,아파트,4833.8246018223135,127.15081019495686,37.54905366226175
강동구,상일동,아파트,5297.662348268094,127.1696399453634,37.55110315997119
강동구,성내동,아파트,3642.0313124068284,127.12899214043996,37.53049385169329
강동구,암사동,아파트,4590.018226496361,127.13106240400548,37.55780509238078
강동구,천호동,아파트,3802.7134529660534,127.12763147740576,37.544376009316714
강북구,미아동,아파트,3029.932688602963,127.0238798762682,37.62109934674796
강북구,번동,아파트,2930.153211390326,127.03675551051244,37.62904413412293
강북구,수유동,아파트,2742.2437043848377,127.00737178236452,37.63832677944964
강북구,우이동,아파트,2120.2194768558884,127.00051722444942,37.66328646306527
강서구,가양동,아파트,4339.57334832474,126.85105981036835,37.567889449871224
강서구,공항동,아파트,2515.995728816459,126.80893306555524,37.55391791037705
강서구,내발산동,아파트,3587.9565627681673,126.8333047024842,37.55249139372813
강서구,등촌동,아파트,3662.9073014615924,126.8543090962772,37.55456418997172
강서구,마곡동,아파트,4727.84714491811,126.829409872915,37.568649088623175
강서구,방화동,아파트,3265.723860698661,126.81358719586136,37.57589544611857
강서구,염창동,아파트,3684.40520747981,126.87178059435476,37.554549561429376
강서구,화곡동,아파트,3048.6863564165656,126.8472706001972,37.540699201322994
관악구,남현동,아파트,3181.137232757725,126.97776851593538,37.46411143344172
관악구,봉천동,아파트,3527.4874635054266,126.9534874765543,37.47797496610814
관악구,신림동,아파트,2761.5499013273757,126.93580773340328,37.46319952201074
광진구,광장동,아파트,5257.661605941463,127.1047097030555,37.547832780011206
광진구,구의동,아파트,4987.515964859981,127.09284919894276,37.54440944937811
광진구,군자동,아파트,3546.5182095740456,127.07367190751611,37.55303731783956
광진구,자양동,아파트,4896.192232466956,127.07452453170116,37.53169649781548
광진구,중곡동,아파트,2760.176008540383,127.08878691844792,37.56353618720835
광진구,화양동,아파트,3891.929035370587,127.0732226948858,37.54323211080179
구로구,가리봉동,아파트,2436.46536714339,126.88803772989328,37.48270010632648
구로구,개봉동,아파트,2947.194218606253,126.8519426662647,37.494224747761535
구로구,고척동,아파트,2912.8744072131703,126.858875817984,37.503168238245614
구로구,구로동,아파트,2820.8881643759623,126.88468696337424,37.49423457994257
구로구,궁동,아파트,2481.5826607866925,126.82852559348945,37.500432768671565
구로구,신도림동,아파트,4112.132604276187,126.88218517004144,37.5099460149011
구로구,오류동,아파트,2373.7390254915586,126.83854726394608,37.4919918844728
구로구,온수동,아파트,2855.456151600885,126.8206168227773,37.49414445079123
구로구,천왕동,아파트,3000.0943632538215,126.83981902082006,37.480835735835825
구로구,항동,아파트,3328.201996596916,126.82459683794686,37.481036282021215
금천구,가산동,아파트,3148.3400103657855,126.8837782478907,37.47668465005587
금천구,독산동,아파트,3440.539196818024,126.8982967098815,37.46747612339402
금천구,시흥동,아파트,2567.7105785916888,126.90928980328589,37.449530199101986
노원구,공릉동,아파트,3059.6378616032275,127.09101086682487,37.630496379881066
노원구,상계동,아파트,3300.0973718595646,127.07033673387208,37.67299194181273
노원구,월계동,아파트,3547.536108047607,127.05674102546848,37.62824386541814
노원구,중계동,아파트,3368.6683546916743,127.07999779125096,37.65101288661096
노원구,하계동,아파트,3432.3270490794143,127.0725099594334,37.63764458714343
도봉구,도봉동,아파트,2236.581407090537,127.02923517733603,37.684848971479674
도봉구,방학동,아파트,2350.3847886903986,127.03106431008626,37.665283907981184
도봉구,쌍문동,아파트,2292.270347243045,127.0270974101564,37.65335781177766
도봉구,창동,아파트,3195.869241060129,127.04406470622502,37.647745491815094
동대문구,답십리동,아파트,3879.764343976964,127.05669876347422,37.57101949114032
동대문구,신설동,아파트,4296.5408318349055,127.02556085245747,37.5749436956359
동대문구,용두동,아파트,4117.3780192907825,127.03429171485794,37.57572086231629
동대문구,이문동,아파트,3323.5635920869,127.0632499833876,37.59946110520826
동대문구,장안동,아파트,3158.652981590271,127.07002444607362,37.57020694782509
동대문구,전농동,아파트,4197.481106732009,127.05570536405564,37.57974743326816
동대문구,제기동,아파트,3183.983334761213,127.03724055033032,37.583775030771534
동대문구,청량리동,아파트,3302.710621019294,127.045288768553,37.5887959287965
