CENTER_LONG,CENTER_LATI,SGG_NM,HOUSE_TYPE,PRICE_PER,BJDONG_NM
127.03675551051244,37.62904413412293,강북구,오피스텔,1508.6120267953988,번동
126.83432123077874,37.52660593745799,양천구,오피스텔,2419.9218220230177,신월동
127.06259188505676,37.48027638208536,강남구,오피스텔,2779.661868763547,개포동
127.0385490769512,37.50007839967135,강남구,오피스텔,3419.1170358917907,역삼동
126.9440804462442,37.49870787980003,동작구,오피스텔,2111.3916527555893,상도동
127.03935699563534,37.60468156510123,성북구,오피스텔,2390.191134023339,하월곡동
127.00909158692494,37.51510276517586,서초구,오피스텔,4588.9164099381105,잠원동
126.8472706001972,37.540699201322994,강서구,오피스텔,3318.1981009240926,화곡동
127.03106431008626,37.665283907981184,도봉구,오피스텔,2149.392581163725,방학동
127.09101086682487,37.630496379881066,노원구,오피스텔,1686.9139219776553,공릉동
126.9385709042098,37.59302549117553,서대문구,오피스텔,1544.0544461599277,홍은동
126.91462526557598,37.6045776295367,은평구,오피스텔,2227.9368311109947,역촌동
126.90469377493744,37.56565855521696,마포구,오피스텔,2814.3677126754123,성산동
126.83854726394608,37.4919918844728,구로구,오피스텔,2059.1967618904123,오류동
126.91361404352892,37.506064430223205,영등포구,오피스텔,2218.1615863391517,신길동
127.10080876635266,37.61260284187596,중랑구,오피스텔,2067.273111984809,신내동
126.874521339432,37.53604466340131,양천구,오피스텔,2745.7822707780124,목동
127.07033673387208,37.67299194181273,노원구,오피스텔,1473.2072010281656,상계동
126.9534874765543,37.47797496610814,관악구,오피스텔,2226.6827935972738,봉천동
127.0280249710694,37.56398726679418,성동구,오피스텔,2600.536995803286,하왕십리동
127.04282053255558,37.54361013482139,성동구,오피스텔,3490.0837263468984,성수동1가
126.8982967098815,37.46747612339402,금천구,오피스텔,2856.698380007141,독산동
126.99311799562292,37.47949267195766,서초구,오피스텔,3420.8895484207783,방배동
126.94188374828862,37.511569947642336,동작구,오피스텔,3228.752524573042,노량진동
126.9667991722266,37.55216608069694,용산구,오피스텔,3174.1238126926455,서계동
127.00737178236452,37.63832677944964,강북구,오피스텔,2048.7505438412627,수유동
126.92315293702484,37.61225609331376,은평구,오피스텔,3185.105906814302,대조동
127.06452154066405,37.58821353212453,동대문구,오피스텔,2789.238000924032,휘경동
126.8557190417005,37.51519455087799,양천구,오피스텔,2982.30522554185,신정동
126.9072033689634,37.59561341565446,은평구,오피스텔,5622.277584546179,신사동
127.0265021417178,37.52380657423338,강남구,오피스텔,5622.277584546179,신사동
127.0504717775772,37.52439589934928,강남구,오피스텔,5110.573280063555,청담동
127.15823011188463,37.56382203459346,강동구,오피스텔,3238.610475446602,고덕동
127.01680535750032,37.48837476066834,서초구,오피스텔,3026.4068137372665,서초동
127.08339049764068,37.5119628280698,송파구,오피스텔,3615.7680946484,잠실동
127.12538894253488,37.51567462461493,송파구,오피스텔,3273.8171795834114,방이동
127.0270974101564,37.65335781177766,도봉구,오피스텔,1684.1643331320286,쌍문동
126.97231151798462,37.485622527920334,동작구,오피스텔,3418.261439753778,사당동
126.97231151798462,37.485622527920334,관악구,오피스텔,3418.261439753778,사당동
127.07002444607362,37.57020694782509,동대문구,오피스텔,2131.6417494274187,장안동
127.03598863989598,37.55762723715426,성동구,오피스텔,2608.008386975891,행당동
126.95438644117792,37.5624196966443,서대문구,오피스텔,4065.517063388689,북아현동
127.08878691844792,37.56353618720835,광진구,오피스텔,3491.7152517645854,중곡동
127.03429171485794,37.57572086231629,동대문구,오피스텔,1827.9008264296012,용두동
127.06334667950938,37.49918983082211,강남구,오피스텔,3317.794240594528,대치동
126.93458290540777,37.605309755631055,은평구,오피스텔,2301.533441107237,녹번동
127.0632499833876,37.59946110520826,동대문구,오피스텔,3124.2141293577547,이문동
126.95631975429208,37.554468382783945,마포구,오피스텔,2641.4524383615963,아현동
127.12255946532606,37.48558503611152,송파구,오피스텔,3191.2553004735423,문정동
126.90054204843766,37.50910124208346,영등포구,오피스텔,2018.1050170839385,도림동
127.04991549658914,37.61521889311376,성북구,오피스텔,1674.250369593071,장위동
127.08921892289165,37.58237609941504,중랑구,오피스텔,2347.117593070077,면목동
127.0566360208888,37.5406864075005,성동구,오피스텔,3623.79907666674,성수동2가
126.8543090962772,37.55456418997172,강서구,오피스텔,2356.1731834606117,등촌동
126.90691319479248,37.51378577572174,영등포구,오피스텔,1612.999486389317,영등포동
126.8519426662647,37.494224747761535,구로구,오피스텔,2706.340168275731,개봉동
127.04074278864152,37.567364209303,성동구,오피스텔,1751.956481869045,마장동
126.829409872915,37.568649088623175,강서구,오피스텔,2747.708560750409,마곡동
127.10251312460892,37.502726254178654,송파구,오피스텔,1697.459361442422,석촌동
126.8333047024842,37.55249139372813,강서구,오피스텔,5731.524746945067,내발산동
126.95927536040698,37.619378239513765,종로구,오피스텔,1472.114461780525,구기동
126.93782346490224,37.63967722434144,은평구,오피스텔,2034.7261026434255,진관동
126.9231250595101,37.59383528652553,은평구,오피스텔,2027.6376293062797,응암동
127.13402013341098,37.50400505475779,송파구,오피스텔,2092.880296816017,오금동
127.09897863081738,37.5239235994725,송파구,오피스텔,3620.7570011001226,신천동
127.13106240400548,37.55780509238078,강동구,오피스텔,3012.7996695324177,암사동
127.01366961097342,37.55791053163123,중구,오피스텔,4044.152610998597,신당동
127.01894561605954,37.575574096780194,종로구,오피스텔,3357.7683316946377,숭인동
127.02083852573874,37.56854521188203,중구,오피스텔,2801.0290768767914,황학동
126.9171909623841,37.49267402527196,동작구,오피스텔,2786.505737012746,신대방동
