SGG_NM,BJDONG_NM,HOUSE_TYPE,PRICE_PER,CENTER_LONG,CENTER_LATI
강남구,개포동,연립다세대,4308.045551212145,127.06259188505676,37.48027638208536
강남구,논현동,연립다세대,4421.2577549961925,127.031712478427,37.51367912993379
강남구,대치동,연립다세대,4757.517841218286,127.06334667950938,37.49918983082211
강남구,도곡동,연립다세대,3669.1752565860984,127.04527689043202,37.48859587613891
강남구,삼성동,연립다세대,5445.688388360749,127.0561216060426,37.5139689371812
강남구,세곡동,연립다세대,7893.548847735583,127.10459678585212,37.46436944623918
강남구,신사동,연립다세대,4075.687203346881,127.0265021417178,37.52380657423338
강남구,역삼동,연립다세대,5145.005960487733,127.0385490769512,37.50007839967135
강남구,일원동,연립다세대,7991.631382730673,127.08286049104916,37.488008106820445
강남구,자곡동,연립다세대,6438.057790247784,127.10035102126302,37.476268479930354
강남구,청담동,연립다세대,10649.915058606586,127.0504717775772,37.52439589934928
강동구,고덕동,연립다세대,3982.5206213649967,127.15823011188463,37.56382203459346
강동구,길동,연립다세대,2631.601953582831,127.14592904185352,37.53961619000997
강동구,둔촌동,연립다세대,2956.5114503735253,127.14472693241336,37.5282635714739
강동구,명일동,연립다세대,2632.7572909446976,127.15081019495686,37.54905366226175
강동구,상일동,연립다세대,2974.12081352078,127.1696399453634,37.55110315997119
강동구,성내동,연립다세대,2670.404528475148,127.12899214043996,37.53049385169329
강동구,암사동,연립다세대,2763.2065567976915,127.13106240400548,37.55780509238078
강동구,천호동,연립다세대,3039.496268945781,127.12763147740576,37.544376009316714
강북구,미아동,연립다세대,1937.4668033916676,127.0238798762682,37.62109934674796
강북구,번동,연립다세대,1747.7054331340503,127.03675551051244,37.62904413412293
강북구,수유동,연립다세대,1605.6150204289181,127.00737178236452,37.63832677944964
강북구,우이동,연립다세대,1509.4730555370509,127.00051722444942,37.66328646306527
강서구,가양동,연립다세대,2434.539809238432,126.85105981036835,37.567889449871224
강서구,개화동,연립다세대,1804.4759825327512,126.8035926508052,37.5871140137266
강서구,공항동,연립다세대,2802.4484112705604,126.80893306555524,37.55391791037705
강서구,내발산동,연립다세대,2025.0775054388357,126.8333047024842,37.55249139372813
강서구,등촌동,연립다세대,2494.698408253299,126.8543090962772,37.55456418997172
강서구,마곡동,연립다세대,3795.2008349211146,126.829409872915,37.568649088623175
강서구,방화동,연립다세대,2391.0733894780637,126.81358719586136,37.57589544611857
강서구,염창동,연립다세대,2864.9184410046696,126.87178059435476,37.554549561429376
강서구,외발산동,연립다세대,1106.4682577838862,126.8196337589572,37.54708772071814
강서구,화곡동,연립다세대,2161.583683284533,126.8472706001972,37.540699201322994
관악구,남현동,연립다세대,2827.4166011494904,126.97776851593538,37.46411143344172
관악구,봉천동,연립다세대,2124.9221928701004,126.9534874765543,37.47797496610814
관악구,신림동,연립다세대,2413.020273942649,126.93580773340328,37.46319952201074
광진구,광장동,연립다세대,2933.95605779849,127.1047097030555,37.547832780011206
광진구,구의동,연립다세대,2494.92444126599,127.09284919894276,37.54440944937811
광진구,군자동,연립다세대,2750.3867719872587,127.07367190751611,37.55303731783956
광진구,능동,연립다세대,3014.92433308827,127.0817381550733,37.55057936342495
광진구,자양동,연립다세대,3869.388860592137,127.07452453170116,37.53169649781548
광진구,중곡동,연립다세대,2547.5278728305743,127.08878691844792,37.56353618720835
광진구,화양동,연립다세대,3416.1753962428193,127.0732226948858,37.54323211080179
구로구,가리봉동,연립다세대,2383.8337695077607,126.88803772989328,37.48270010632648
구로구,개봉동,연립다세대,1984.3775184968338,126.8519426662647,37.494224747761535
구로구,고척동,연립다세대,2018.272230366642,126.858875817984,37.503168238245614
구로구,구로동,연립다세대,2602.095410281672,126.88468696337424,37.49423457994257
구로구,궁동,연립다세대,2013.4630539673215,126.82852559348945,37.500432768671565
구로구,신도림동,연립다세대,3200.6582412420767,126.88218517004144,37.5099460149011
구로구,오류동,연립다세대,1819.8233462956184,126.83854726394608,37.4919918844728
구로구,온수동,연립다세대,2154.776058564552,126.8206168227773,37.49414445079123
구로구,천왕동,연립다세대,2640.162398652229,126.83981902082006,37.480835735835825
구로구,항동,연립다세대,1978.289410303641,126.82459683794686,37.481036282021215
금천구,가산동,연립다세대,2650.926457042256,126.8837782478907,37.47668465005587
금천구,독산동,연립다세대,2294.6895649824173,126.8982967098815,37.46747612339402
금천구,시흥동,연립다세대,2180.1153976633586,126.90928980328589,37.449530199101986
노원구,공릉동,연립다세대,1543.3896627883676,127.09101086682487,37.630496379881066
노원구,상계동,연립다세대,2250.9979428807455,127.07033673387208,37.67299194181273
노원구,월계동,연립다세대,1775.407647228492,127.05674102546848,37.62824386541814
노원구,중계동,연립다세대,1246.4592368801264,127.07999779125096,37.65101288661096
노원구,하계동,연립다세대,1448.1294920810258,127.0725099594334,37.63764458714343
도봉구,도봉동,연립다세대,1488.2675704873684,127.02923517733603,37.684848971479674
도봉구,방학동,연립다세대,1433.7050397099076,127.03106431008626,37.665283907981184
도봉구,쌍문동,연립다세대,1650.299798314311,127.0270974101564,37.65335781177766
도봉구,창동,연립다세대,1790.8319771717881,127.04406470622502,37.647745491815094
동대문구,답십리동,연립다세대,3359.0129141179514,127.05669876347422,37.57101949114032
동대문구,신설동,연립다세대,4476.6227171925,127.02556085245747,37.5749436956359
동대문구,용두동,연립다세대,3181.4160762826727,127.03429171485794,37.57572086231629
동대문구,이문동,연립다세대,2629.072257894821,127.0632499833876,37.59946110520826
동대문구,장안동,연립다세대,2633.5008036089343,127.07002444607362,37.57020694782509
동대문구,전농동,연립다세대,3392.502905905082,127.05570536405564,37.57974743326816
동대문구,제기동,연립다세대,2440.8679333287087,127.03724055033032,37.583775030771534
동대문구,청량리동,연립다세대,2560.1285821911247,127.045288768553,37.5887959287965
동대문구,회기동,연립다세대,1636.8320781658717,127.05145341917289,37.59373569617633
동대문구,휘경동,연립다세대,2630.544449367839,127.06452154066405,37.58821353212453
동작구,노량진동,연립다세대,5450.242042532863,126.94188374828862,37.511569947642336
동작구,대방동,연립다세대,3563.6538381126506,126.92800815596662,37.5068788212364
동작구,동작동,연립다세대,2191.870498279088,126.97387524335258,37.49921742348401
동작구,본동,연립다세대,6651.450343289597,126.95365895145984,37.5124477714215
동작구,사당동,연립다세대,2861.2968852306267,126.97231151798462,37.485622527920334
동작구,상도1동,연립다세대,2647.9008000041126,126.95064170454968,37.50327443968304
동작구,상도동,연립다세대,2474.3200146521253,126.9440804462442,37.49870787980003
동작구,신대방동,연립다세대,2799.6782063613036,126.9171909623841,37.49267402527196
동작구,흑석동,연립다세대,3939.3461385415862,126.96233704706508,37.50549290376016
마포구,공덕동,연립다세대,5135.950932005675,126.95494771882709,37.548070476424705
마포구,구수동,연립다세대,4767.992471938209,126.93256322437648,37.54576155609859
마포구,노고산동,연립다세대,7133.124324879604,126.93778538675218,37.55438895228857
마포구,당인동,연립다세대,4755.30207119464,126.92206848707312,37.54260554066827
마포구,대흥동,연립다세대,3957.733097214514,126.94319685161834,37.5498040641047
마포구,도화동,연립다세대,5495.391695547412,126.95004819946654,37.53975917629893
마포구,동교동,연립다세대,3130.041286251654,126.92515423679856,37.55759508575316
마포구,마포동,연립다세대,3780.1948429529366,126.94384420166696,37.53713452996969
마포구,망원동,연립다세대,2982.359582109959,126.89993048134066,37.555477732312426
마포구,상수동,연립다세대,4066.6799999562995,126.92448716178278,37.5466706437852
마포구,상암동,연립다세대,2963.844204332853,126.87988623319272,37.57072003647314
