CENTER_LONG,CENTER_LATI,SGG_NM,HOUSE_TYPE,PRICE_PER,BJDONG_NM
126.88385584048704,37.516682920081536,영등포구,단독다가구,1067.955510430127,문래동5가
126.90691319479248,37.51378577572174,영등포구,단독다가구,1076.7157610422626,영등포동
126.94139603706329,37.56554452948296,서대문구,단독다가구,1182.4082840236686,신촌동
127.03106431008626,37.665283907981184,도봉구,단독다가구,1289.229863287857,방학동
126.87178059435476,37.554549561429376,강서구,단독다가구,1312.261993513095,염창동
127.02210700764752,37.58870611055133,성북구,단독다가구,1341.042907594048,안암동1가
126.83432123077874,37.52660593745799,양천구,단독다가구,1397.5748891468677,신월동
126.99969439117476,37.57870344083053,종로구,단독다가구,1462.1407452314927,연건동
127.07033673387208,37.67299194181273,노원구,단독다가구,1468.9219576505775,상계동
126.858875817984,37.503168238245614,구로구,단독다가구,1492.246398844039,고척동
127.0725099594334,37.63764458714343,노원구,단독다가구,1499.692282140921,하계동
127.02318669915104,37.58690018393774,성북구,단독다가구,1534.5661553833345,안암동2가
127.01306627243676,37.586543216665405,성북구,단독다가구,1536.117022702364,삼선동3가
126.8982967098815,37.46747612339402,금천구,단독다가구,1568.076134122156,독산동
127.02041492867168,37.55303985493152,성동구,단독다가구,1598.0980662983425,금호동2가
127.1696399453634,37.55110315997119,강동구,단독다가구,1617.9469222456894,상일동
127.07002444607362,37.57020694782509,동대문구,단독다가구,1627.1131492071556,장안동
126.8519426662647,37.494224747761535,구로구,단독다가구,1627.3336862585038,개봉동
126.89913605068972,37.52903856574709,영등포구,단독다가구,1652.89,당산동4가
126.88803772989328,37.48270010632648,구로구,단독다가구,1654.8702186526164,가리봉동
127.00737178236452,37.63832677944964,강북구,단독다가구,1681.766238027503,수유동
127.05674102546848,37.62824386541814,노원구,단독다가구,1682.4159211244175,월계동
126.88468696337424,37.49423457994257,구로구,단독다가구,1695.2748553018455,구로동
126.83854726394608,37.4919918844728,구로구,단독다가구,1696.0773344327956,오류동
127.03675551051244,37.62904413412293,강북구,단독다가구,1704.0407323504885,번동
126.8837782478907,37.47668465005587,금천구,단독다가구,1711.272486851294,가산동
127.01636366042452,37.58396377942942,성북구,단독다가구,1738.4983884540552,보문동3가
127.0270974101564,37.65335781177766,도봉구,단독다가구,1749.3057112210176,쌍문동
127.08921892289165,37.58237609941504,중랑구,단독다가구,1763.9520520242502,면목동
127.01419803536376,37.59632605151137,성북구,단독다가구,1802.4912631384732,동소문동7가
126.99314729461652,37.58822121021423,종로구,단독다가구,1808.840363985042,명륜3가
127.01638059369752,37.567310991785895,중구,단독다가구,1818.8352807714125,흥인동
127.10080876635266,37.61260284187596,중랑구,단독다가구,1829.042766873503,신내동
127.00596199280643,37.57495880238612,종로구,단독다가구,1833.5815351118424,충신동
127.0223785070424,37.579773680700086,성북구,단독다가구,1835.2520134490576,보문동7가
127.00051722444942,37.66328646306527,강북구,단독다가구,1835.859505375065,우이동
127.13106240400548,37.55780509238078,강동구,단독다가구,1862.701266152821,암사동
127.14592904185352,37.53961619000997,강동구,단독다가구,1867.1696090366513,길동
126.9776216378925,37.55807987885562,중구,단독다가구,1880.5243706967267,남창동
127.01137580783735,37.58387954805537,성북구,단독다가구,1880.974450026799,삼선동2가
127.07814676117592,37.6005014515641,중랑구,단독다가구,1881.8775041422032,중화동
127.1139970165966,37.53320666327234,송파구,단독다가구,1887.0772178466575,풍납동
127.07974156439344,37.612713124313935,중랑구,단독다가구,1900.8683611629124,묵동
126.8543090962772,37.55456418997172,강서구,단독다가구,1916.688365611213,등촌동
127.02556085245747,37.5749436956359,동대문구,단독다가구,1924.78675001612,신설동
127.0233367300506,37.58354634953801,성북구,단독다가구,1946.2259571664783,안암동3가
127.0182784560044,37.59779444774695,성북구,단독다가구,1953.9706514630911,돈암동
126.93580773340328,37.46319952201074,관악구,단독다가구,1967.6000662646404,신림동
127.08878691844792,37.56353618720835,광진구,단독다가구,1974.762675537384,중곡동
126.9947217345554,37.55877226962126,중구,단독다가구,2012.251453695097,필동2가
127.0078933542153,37.5849131322796,성북구,단독다가구,2027.9937535695176,삼선동1가
126.94384420166696,37.53713452996969,마포구,단독다가구,2029.7340508731995,마포동
126.900128911302,37.49542734758569,영등포구,단독다가구,2041.8735156107175,대림동
126.9171909623841,37.49267402527196,동작구,단독다가구,2048.331946006705,신대방동
126.96183780823505,37.60252000546712,종로구,단독다가구,2067.806762299662,신영동
126.81358719586136,37.57589544611857,강서구,단독다가구,2087.2776353114905,방화동
126.90668058866623,37.52107507205193,영등포구,단독다가구,2089.444631720883,영등포동5가
