CENTER_LONG,CENTER_LATI,SGG_NM,HOUSE_TYPE,PRICE_PER,BJDONG_NM
126.985787581769,37.558591578754445,중구,연립다세대,1082.6011695906432,남산동2가
126.8196337589572,37.54708772071814,강서구,연립다세대,1106.4682577838862,외발산동
127.07999779125096,37.65101288661096,노원구,연립다세대,1246.4592368801264,중계동
126.9072033689634,37.59561341565446,은평구,연립다세대,1331.3795329556358,신사동
126.99314729461652,37.58822121021423,종로구,연립다세대,1332.389783782212,명륜3가
127.03106431008626,37.665283907981184,도봉구,연립다세대,1433.7050397099076,방학동
127.0725099594334,37.63764458714343,노원구,연립다세대,1448.1294920810258,하계동
127.01419803536376,37.59632605151137,성북구,연립다세대,1464.8959336287523,동소문동7가
127.0213675518561,37.58291802529641,성북구,연립다세대,1480.428596866097,보문동4가
127.00051722444942,37.66328646306527,강북구,연립다세대,1509.4730555370509,우이동
127.09101086682487,37.630496379881066,노원구,연립다세대,1543.3896627883676,공릉동
126.9564818138634,37.60085595551893,종로구,연립다세대,1560.2279667124149,홍지동
126.9385709042098,37.59302549117553,서대문구,연립다세대,1577.214287772214,홍은동
127.00737178236452,37.63832677944964,강북구,연립다세대,1605.615020428918,수유동
126.98100988457196,37.59075470415767,종로구,연립다세대,1620.168277885267,삼청동
127.02838532417744,37.58845682267109,성북구,연립다세대,1624.7670837948638,안암동5가
127.05145341917289,37.59373569617633,동대문구,연립다세대,1636.8320781658715,회기동
127.0270974101564,37.65335781177766,도봉구,연립다세대,1650.299798314311,쌍문동
127.02002168547628,37.590179035535975,성북구,연립다세대,1666.3801839319797,동선동2가
126.99969439117476,37.57870344083053,종로구,연립다세대,1707.3174696052736,연건동
127.01666926862214,37.596286610248455,성북구,연립다세대,1730.6662780106528,동선동5가
127.03675551051244,37.62904413412293,강북구,연립다세대,1747.7054331340505,번동
126.91944122847062,37.57562164983495,서대문구,연립다세대,1747.7462642577118,남가좌동
127.05674102546848,37.62824386541814,노원구,연립다세대,1775.407647228492,월계동
126.8035926508052,37.5871140137266,강서구,연립다세대,1804.4759825327512,개화동
126.83854726394608,37.4919918844728,구로구,연립다세대,1819.8233462956184,오류동
127.01894561605954,37.575574096780194,종로구,연립다세대,1861.5903729306217,숭인동
126.91462526557598,37.6045776295367,은평구,연립다세대,1878.4529277741808,역촌동
127.02210700764752,37.58870611055133,성북구,연립다세대,1915.794996222718,안암동1가
127.0238798762682,37.62109934674796,강북구,연립다세대,1937.4668033916676,미아동
127.01823149269512,37.58575726756298,성북구,연립다세대,1953.014383442252,보문동2가
126.96559042130346,37.59476324556175,종로구,연립다세대,1970.3537127811353,부암동
126.83432123077874,37.52660593745799,양천구,연립다세대,1971.9636973356469,신월동
127.0233367300506,37.58354634953801,성북구,연립다세대,1972.9191019234047,안암동3가
126.98826331318952,37.58392421013851,종로구,연립다세대,1974.3500592381436,원서동
126.8519426662647,37.494224747761535,구로구,연립다세대,1984.3775184968335,개봉동
126.90731080703928,37.611072602353374,은평구,연립다세대,2004.1054156285595,구산동
126.82852559348945,37.500432768671565,구로구,연립다세대,2013.4630539673217,궁동
127.10080876635266,37.61260284187596,중랑구,연립다세대,2016.7122974626004,신내동
126.858875817984,37.503168238245614,구로구,연립다세대,2018.272230366642,고척동
126.9681452560928,37.577299434811856,종로구,연립다세대,2020.336307664463,필운동
126.8333047024842,37.55249139372813,강서구,연립다세대,2025.0775054388355,내발산동
127.01065603977528,37.59175708071464,성북구,연립다세대,2029.4840964395744,동소문동4가
127.0221422467614,37.60859152447063,성북구,연립다세대,2039.894713312677,길음동
126.99904129388828,37.58470007701993,종로구,연립다세대,2049.774252921378,명륜2가
126.9998816334622,37.58223245425522,종로구,연립다세대,2057.5746643531693,명륜4가
126.96273702005308,37.58039872906021,종로구,연립다세대,2083.31331443443,누상동
127.01306627243676,37.586543216665405,성북구,연립다세대,2092.3824413645752,삼선동3가
127.04777420744264,37.6061701407617,성북구,연립다세대,2109.360162822263,상월곡동
127.00058989169148,37.554994794730405,중구,연립다세대,2109.766445324008,장충동2가
127.0078933542153,37.5849131322796,성북구,연립다세대,2124.1721103627265,삼선동1가
126.9534874765543,37.47797496610814,관악구,연립다세대,2124.9221928701004,봉천동
126.9231250595101,37.59383528652553,은평구,연립다세대,2145.4136608318486,응암동
